20.125	156	25.625	311	27.875	441	35.125	535						
20.25	155	25.75	310	28	440	35.25	534						
20.375	155	25.875	309	28.125	440	35.375	534						
20.5	155	26	308	28.25	439	35.5	533						
20.625	154	26.125	306	28.375	439	35.625	532						
20.75	154	26.25	305	28.5	439	35.75	531						
20.875	154	26.375	304	28.625	438	35.875	531						
21	153	26.5	303	28.75	438	36	530						
21.125	153	26.625	302	28.875	438	36.125	529						
21.25	153	26.75	300	29	438	36.25	528						
21.375	153	26.875	299	29.125	437	36.375	527						
21.5	152	27	298	29.25	437	36.5	526						
21.625	152	27.125	297	29.375	437	36.625	524						
21.75	152	27.25	296	29.5	436	36.75	523						
21.875	151	27.375	295	29.625	436	36.875	521						
22	151	27.5	293	29.75	436	37	519						
22.125	151	27.625	292	29.875	436	37.125	516						
22.25	151	27.75	291	30	435	37.25	513						
22.375	151	27.875	290	30.125	435	37.375	510						
22.5	150	28	289	30.25	435	37.5	506						
22.625	150	28.125	287	30.375	435	37.625	502						
22.75	150	28.25	286	30.5	434	37.75	497						
22.875	150	28.375	285	30.625	434	37.875	493						
23	150	28.5	284	30.75	434	38	488						
23.125	150	28.625	283	30.875	433	38.125	484						
23.25	149	28.75	281	31	433	38.25	480						
23.375	149	28.875	280	31.125	433	38.375	476						
23.5	149	29	279	31.25	433	38.5	473						
23.625	149	29.125	278	31.375	432	38.625	469						
23.75	149	29.25	277	31.5	432	38.75	466						
23.875	149	29.375	275	31.625	432	38.875	464						
24	148	29.5	274	31.75	432	39	461						
24.125	148	29.625	273	31.875	431	39.125	459						
24.25	148	29.75	272	32	431	39.25	457						
24.375	148	29.875	271	32.125	431	39.375	455						
24.5	148	30	270	32.25	431	39.5	453						
24.625	148	30.125	268	32.375	430	39.625	451						
24.75	148	30.25	267	32.5	430	39.75	450						
24.875	148	30.375	266	32.625	430	39.875	448						
25	147	30.5	265	32.75	430	40	447						
25.125	147	30.625	263	32.875	429								
25.25	147	30.75	262	33	429								
25.375	147	30.875	261	33.125	429								
25.5	147	31	260	33.25	428								
25.625	147	31.125	259	33.375	428								
25.75	147	31.25	257	33.5	428								
25.875	147	31.375	256	33.625	428								
26	147	31.5	255	33.75	427								
26.125	147	31.625	254	33.875	427								
26.25	147	31.75	253	34	427								
26.375	146	31.875	251	34.125	426								
26.5	146	32	250	34.25	426								
26.625	146	32.125	249	34.375	426								
26.75	146	32.25	248	34.5	425								
26.875	146	32.375	246	34.625	425								
27	146	32.5	245	34.75	425								
27.125	146	32.625	244	34.875	424								
27.25	146	32.75	243	35	424								
27.375	146	32.875	242	35.125	423								
27.5	146	33	240	35.25	423								
27.625	146	33.125	239	35.375	422								
27.75	146	33.25	238	35.5	422								
27.875	146	33.375	237	35.625	422								
28	146	33.5	236	35.75	421								
28.125	146	33.625	235	35.875	420								
28.25	146	33.75	234	36	420								
28.375	145	33.875	232	36.125	419								
28.5	145	34	231	36.25	419								
28.625	145	34.125	230	36.375	418								
28.75	145	34.25	229	36.5	417								
28.875	145	34.375	228	36.625	417								
29	145	34.5	227	36.75	416								
29.125	145	34.625	226	36.875	415								
29.25	145	34.75	225	37	414								
29.375	145	34.875	224	37.125	413								
29.5	145	35	223	37.25	412								
29.625	145	35.125	222	37.375	411								
29.75	145	35.25	221	37.5	410								
29.875	145	35.375	220	37.625	408								
30	145	35.5	219	37.75	407								
30.125	145	35.625	218	37.875	405								
30.25	145	35.75	217	38	404								
30.375	145	35.875	216	38.125	402								
30.5	145	36	215	38.25	400								
30.625	145	36.125	214	38.375	398								
30.75	145	36.25	214	38.5	396								
30.875	145	36.375	213	38.625	394								
31	145	36.5	212	38.75	392								
31.125	145	36.625	211	38.875	390								
31.25	145	36.75	210	39	388								
31.375	145	36.875	209	39.125	386								
31.5	144	37	209	39.25	383								
31.625	144	37.125	208	39.375	381								
31.75	144	37.25	207	39.5	379								
31.875	144	37.375	206	39.625	376								
32	144	37.5	206	39.75	374								
32.125	144	37.625	205	39.875	371								
32.25	144	37.75	204	40	369								
32.375	144	37.875	203										
32.5	144	38	203										
32.625	144	38.125	202										
32.75	144	38.25	201										
32.875	144	38.375	201										
33	144	38.5	200										
33.125	144	38.625	199										
33.25	144	38.75	199										
33.375	144	38.875	198										
33.5	144	39	198										
33.625	144	39.125	197										
33.75	144	39.25	196										
33.875	144	39.375	196										
34	144	39.5	195										
34.125	144	39.625	195										
34.25	144	39.75	194										
34.375	144	39.875	194										
34.5	144	40	193										
34.625	144												
34.75	144												
34.875	144												
35	144												
35.125	144												
35.25	144												
35.375	144												
35.5	144												
35.625	144												
35.75	144												
35.875	144												
36	144												
36.125	144												
36.25	144												
36.375	144												
36.5	144												
36.625	144												
36.75	144												
36.875	144												
37	144												
37.125	144												
37.25	144												
37.375	144												
